Time stamp,Water level in tunnel L2,Water volume in tunnel V,Sum of pumped flow to WWTP F2,Inflow to tunnel F1,Pump flow 1.1,Pump flow 1.2,Pump flow 1.3,Pump flow 1.4,Pump flow 2.1,Pump flow 2.2,Pump flow 2.3,Pump flow 2.4,Pump efficiency 1.1,Pump efficiency 1.2,Pump efficiency 1.3,Pump efficiency 1.4,Pump efficiency 2.1,Pump efficiency 2.2,Pump efficiency 2.3,Pump efficiency 2.4,Pump frequency 1.1,Pump frequency 1.2,Pump frequency 1.3,Pump frequency 1.4,Pump frequency 2.1,Pump frequency 2.2,Pump frequency 2.3,Pump frequency 2.4,Electricity price 1: high,Electricity price 2: normal
,m,m3,m3/h,m3/15 min,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,m3/h,kW,kW,kW,kW,kW,kW,kW,kW,Hz,Hz,Hz,Hz,Hz,Hz,Hz,Hz,EUR/kWh,EUR/kWh
15.11.2024 0.00.00,2.371505022,10064.98926,4515.639648,1454.531128,1497.261597,0,0,3020.36377,0,0,0,0,189.9127655,0,0,400.2510986,0,0,0,0,49.66162491,0,0,49.61832047,0,0,0,0,3.383,0.291
15.11.2024 0.15.00,2.40358901,10391.08496,4513.741699,1454.531128,1499.396851,0,0,3014.813232,0,0,0,0,190.2216034,0,0,399.4494324,0,0,0,0,49.66287613,0,0,49.61894226,0,0,0,0,3.383,0.291
15.11.2024 0.30.00,2.433434248,10683.66406,4541.766113,1428.02063,1510.596313,0,0,3034.408203,0,0,0,0,190.7880096,0,0,399.1644287,0,0,0,0,49.66412735,0,0,49.61956787,0,0,0,0,3.383,0.291
15.11.2024 0.45.00,2.459946394,10955.44922,4537.182129,1406.080688,1507.57312,0,0,3024.766846,0,0,0,0,190.7736969,0,0,400.1988831,0,0,0,0,49.66475296,0,0,49.61929321,0,0,0,0,3.383,0.291
15.11.2024 1.00.00,2.481883526,11182.19922,4569.570313,1369.142578,1525.158447,0,0,3046.157959,0,0,0,0,191.4338379,0,0,400.6650085,0,0,0,0,49.66409302,0,0,49.61722565,0,0,0.000206758,0,2.869,0.321
15.11.2024 1.15.00,2.499846697,11369.90137,4564.400391,1328.802246,1517.96814,0,0,3044.542969,0,0,0,0,191.1829681,0,0,400.1722107,0,0,0,0,49.66339874,0,0,49.61510849,0,0,0.002139175,0,2.869,0.321
15.11.2024 1.30.00,2.513429403,11510.82324,4443.824707,1251.878052,1224.966431,0,0,2260.253906,0,528.5968018,431.8753052,0,151.7127838,0,0,295.5661011,0,57.74499893,70.43055725,0,39.54536819,0,0,36.65869522,0,8.931420326,12.40095234,0,2.869,0.321
15.11.2024 1.45.00,2.512083292,11480.08691,5138.553223,1253.901978,0,0,0,0,0,3159.286377,1978.289063,0,0,0,0,0,0,320.4464722,286.9705505,0,0,0,0,0,0,47.34583282,47.31986237,0,2.869,0.321
15.11.2024 2.00.00,2.503330946,11388.34668,5253.709961,1221.687256,0,0,0,0,0,3163.997803,2091.432129,0,0,0,0,0,0,321.770752,298.4655457,0,0,0,0,0,0,47.3520813,47.33536911,0,3.688,0.297
