Level L1 m,Volume V m³,Formula type
0,350,1
0.1,350,1
0.2,350,1
0.3,350,1
0.4,350,1
0.5,375,2
0.6,450,2
0.7,575,2
0.8,750,2
0.9,975,2
1,1250,2
1.1,1575,2
1.2,1950,2
1.3,2375,2
1.4,2850,2
1.5,3375,2
1.6,3950,2
1.7,4575,2
1.8,5250,2
1.9,5975,2
2,6750,2
2.1,7575,2
2.2,8450,2
2.3,9375,2
2.4,10350,2
2.5,11375,2
2.6,12450,2
2.7,13575,2
2.8,14750,2
2.9,15975,2
3,17250,2
3.1,18575,2
3.2,19950,2
3.3,21375,2
3.4,22850,2
3.5,24375,2
3.6,25950,2
3.7,27575,2
3.8,29250,2
3.9,30975,2
4,32750,2
4.1,34575,2
4.2,36450,2
4.3,38375,2
4.4,40350,2
4.5,42375,2
4.6,44450,2
4.7,46575,2
4.8,48750,2
4.9,50975,2
5,53250,2
5.1,55575,2
5.2,57950,2
5.3,60375,2
5.4,62850,2
5.5,65375,2
5.6,67950,2
5.7,70575,2
5.8,73250,2
5.9,75975,2
6,78725,3
6.1,81475,3
6.2,84225,3
6.3,86975,3
6.4,89725,3
6.5,92475,3
6.6,95225,3
6.7,97975,3
6.8,100725,3
6.9,103475,3
7,106225,3
7.1,108975,3
7.2,111725,3
7.3,114475,3
7.4,117225,3
7.5,119975,3
7.6,122725,3
7.7,125475,3
7.8,128225,3
7.9,130975,3
8,133725,3
8.1,136475,3
8.2,139225,3
8.3,141975,3
8.4,144725,3
8.5,147475,3
8.6,150225,3
8.7,152950,4
8.8,155625,4
8.9,158250,4
9,160825,4
9.1,163350,4
9.2,165825,4
9.3,168250,4
9.4,170625,4
9.5,172950,4
9.6,175225,4
9.7,177450,4
9.8,179625,4
9.9,181750,4
10,183825,4
10.1,185850,4
10.2,187825,4
10.3,189750,4
10.4,191625,4
10.5,193450,4
10.6,195225,4
10.7,196950,4
10.8,198625,4
10.9,200250,4
11,201825,4
11.1,203350,4
11.2,204825,4
11.3,206250,4
11.4,207625,4
11.5,208950,4
11.6,210225,4
11.7,211450,4
11.8,212625,4
11.9,213750,4
12,214825,4
12.1,215850,4
12.2,216825,4
12.3,217750,4
12.4,218625,4
12.5,219450,4
12.6,220225,4
12.7,220950,4
12.8,221625,4
12.9,222250,4
13,222825,4
13.1,223350,4
13.2,223825,4
13.3,224250,4
13.4,224625,4
13.5,224950,4
13.6,225225,4
13.7,225450,4
13.8,225625,4
13.9,225750,4
14,225825,4
14.1,225850,4
